Sim_ID,Stable,Norbits,beta1,beta2,M1,a1,P1,e1,pomega1,inc1,Omega1,f1,M2,a2,P2,e2,pomega2,inc2,Omega2,f2,M3,a3,P3,e3,pomega3,inc3,Omega3,f3,Rel_Eerr,integ_time
1,False,41046.0299991,7.75828043683,7.90957016878,5.28654686451e-07,1.0,0.999999735673,0.0136786405048,0.0443478039275,0.00798004861552,2.2879164806,0.725195688622,2.85437973502e-06,1.08075334629,1.12354157823,0.0326915145934,2.42843490738,0.00158399248046,-0.663305094267,-0.577157044622,0.000258110859518,1.45951552685,1.76301620436,0.00360813069062,-1.60859257332,0.00125066366307,-2.99314602843,-1.3540878451,5.31174478419e-07,1.13529205322
2,False,132523.739996,18.7415340103,8.58063860019,3.02724253381e-07,1.0,0.999999848638,0.00273182795616,3.34250936896,0.0783278920895,1.15743529323,-3.17217898988,9.61528280847e-07,1.14051067759,1.21800412407,0.0230441315181,4.81029104459,0.00421965504559,2.97615309655,-2.95318791808,0.000421799351312,1.64977526635,2.11858227668,0.105838950065,1.00174536433,0.00538320916404,-1.44525166896,-1.02478821129,0.0328572033723,3.51464486122
3,False,1468.71,15.6193010418,3.04505775953,1.67467144328e-06,1.0,0.999999162665,0.00392859742186,3.40702667823,0.00310171238302,0.564119309949,-1.23712522697,6.26632283873e-07,1.14298127238,1.22196332672,0.00128127299726,-0.224703428378,0.0161866079571,1.1218345971,2.0355972402,1.30909247863e-06,1.17305648916,1.27050858934,0.00382402167297,-4.22840715117,0.0137163806619,-1.76276378995,-0.199337321291,2.94687947325e-06,0.0365669727325
4,False,25875.5399997,18.7505127654,14.6220387253,0.000270170305546,1.0,0.999864942213,0.135060035176,1.26558127648,0.0990818679993,1.76235928803,-2.27412629109,0.000122079486358,1.9516859063,2.72602434293,0.143490414982,2.67519381621,0.00801867997256,0.918943441051,-2.60476011006,3.19891157024e-06,2.94176411319,5.04459046744,0.025250345645,-0.980374200094,0.0223333142877,1.87362525246,1.41149554126,2.34611674813e-06,0.631994962692
5,True,1000000000.0,11.6977766225,9.23978168965,1.91245147027e-06,1.0,0.999999043776,0.0134877956274,0.210228297394,0.0022878559707,-1.78600447668,-1.20266638091,5.85560072197e-05,1.31835074605,1.51367738972,0.0368827803841,-1.20648944631,0.0529213393939,-3.13404639693,1.0514529008,1.79509612865e-06,1.64964507316,2.1187135863,0.0024494852392,3.11274953081,0.00559226195826,1.97538872534,-1.32955307488,9.66119497295e-05,25132.65202
7,True,1000000000.0,14.8174551115,8.31265220412,1.28722194527e-06,1.0,0.99999935639,0.00188711947323,-3.49723671917,0.0076590037868,-1.7726993657,3.52290808965,0.000304315221939,1.69202026055,2.20060445582,0.091392912805,-4.90401032474,0.0245319081952,-2.16151483771,2.64226532774,1.07570348008e-06,2.34875520752,3.59906798098,0.00202294039427,3.19804000816,0.0381139367598,2.92918103322,-2.61769249005,1.67705721679e-08,26303.66728
8,False,30823583.3925,10.3835004189,13.1015831308,0.00017253386035,1.0,0.999913744231,0.0599098979133,3.77464281356,0.0188267936827,1.01377892873,-0.600946580848,0.00018216129532,1.50963015666,1.8545085365,0.0569784995372,-1.31937091568,0.0152778240237,-1.9361039161,1.60680644799,1.07478723219e-06,2.28854668735,3.46148476307,0.0154673341598,0.974115623052,0.0051783100094,1.50905375362,2.97468615015,1.01922425063e-06,753.532428026
9,True,1000000000.0,17.7035393982,9.4804909663,7.62221109041e-06,1.0,0.999996188916,0.0218989357333,-4.90781067301,0.00163880615053,-2.79184961863,1.80982806997,0.000125819603794,1.62726395242,2.07566867553,0.011057826599,-1.60295110438,0.0860472299092,-0.276645070458,-0.781007240567,5.19880543763e-06,2.17054662655,3.19759588238,0.0525579678379,-3.32471029086,0.0181399834828,-2.09706811874,1.55280007034,1.25805287429e-07,25522.992424
11,False,7721.46000001,17.22730268,3.64204989589,1.41354146709e-06,1.0,0.99999929323,0.0627486940883,0.731327506523,0.00960560069125,3.02615739019,3.51957147791,7.13428488846e-06,1.2442279869,1.38786777727,0.00118942581101,-0.668821112234,0.00309414160334,-0.704641241517,-1.59607648633,9.07628389442e-06,1.32374709922,1.52301333241,0.00202159401768,-1.8061631774,0.0103745847948,-1.61277363618,1.99410368196,1.283910517e-05,0.233215093613
12,True,1000000000.0,17.5530872264,11.6486787065,4.79915771844e-06,1.0,0.99999760043,0.0572588240941,2.08221171251,0.00291321083477,1.43885567513,0.109094545093,0.000170639705331,1.6813261022,2.17991640809,0.00625311465571,0.265408620813,0.0580053855839,1.27196493341,2.17885780857,0.000412366931965,2.81576045736,4.72352214359,0.0625861454851,1.3195955978,0.0055878405075,-1.76712240389,-5.77741790049,2.65548810507e-05,26815.6476431
